Time,Signal
0,-0.329663102
0.25,-0.400305195
0.5,-0.470947288
0.75,-0.494494652
1,-0.518042017
1.25,-0.447399924
1.5,-0.37675783
1.75,-0.353210466
2,-0.329663102
2.25,-0.329663102
2.5,-0.329663102
2.75,-0.37675783
3,-0.282568373
3.25,-0.259021008
3.5,-0.282568373
3.75,-0.306115737
4,-0.306115737
4.25,-0.329663102
4.5,-0.353210466
4.75,-0.353210466
5,-0.353210466
5.25,-0.37675783
5.5,-0.353210466
5.75,-0.400305195
6,-0.423852559
6.25,-0.423852559
6.5,-0.400305195
6.75,-0.423852559
7,-0.423852559
7.25,-0.447399924
7.5,-0.447399924
7.75,-0.400305195
8,-0.400305195
8.25,-0.447399924
8.5,-0.470947288
8.75,-0.447399924
9,-0.470947288
9.25,-0.470947288
9.5,-0.447399924
9.75,-0.447399924
10,-0.470947288
10.25,-0.447399924
10.5,-0.494494652
10.75,-0.494494652
11,-0.470947288
11.25,-0.494494652
11.5,-0.518042017
11.75,-0.494494652
12,-0.470947288
12.25,-0.470947288
12.5,-0.470947288
12.75,-0.470947288
13,-0.470947288
13.25,-0.447399924
13.5,-0.494494652
13.75,-0.494494652
14,-0.494494652
14.25,-0.518042017
14.5,-0.518042017
14.75,-0.494494652
15,-0.447399924
15.25,-0.447399924
15.5,-0.494494652
15.75,-0.494494652
16,-0.494494652
16.25,-0.494494652
16.5,-0.494494652
16.75,-0.470947288
17,-0.470947288
17.25,-0.470947288
17.5,-0.494494652
17.75,-0.518042017
18,-0.518042017
18.25,-0.494494652
18.5,-0.494494652
18.75,-0.494494652
19,-0.518042017
19.25,-0.518042017
19.5,-0.541589381
19.75,-0.494494652
20,-0.518042017
20.25,-0.541589381
20.5,-0.518042017
20.75,-0.565136746
21,-0.612231474
21.25,-0.58868411
21.5,-0.494494652
21.75,-0.494494652
22,-0.494494652
22.25,-0.518042017
22.5,-0.494494652
22.75,-0.447399924
23,-0.447399924
23.25,-0.470947288
23.5,-0.565136746
23.75,-0.58868411
24,-0.58868411
24.25,-0.58868411
24.5,-0.635778839
24.75,-0.565136746
25,-0.612231474
25.25,-0.541589381
25.5,-0.518042017
25.75,-0.470947288
26,-0.494494652
26.25,-0.494494652
26.5,-0.494494652
26.75,-0.494494652
27,-0.470947288
27.25,-0.470947288
27.5,-0.494494652
27.75,-0.470947288
28,-0.494494652
28.25,-0.494494652
28.5,-0.518042017
28.75,-0.518042017
29,-0.541589381
29.25,-0.541589381
29.5,-0.541589381
29.75,-0.518042017
30,-0.541589381
30.25,-0.541589381
30.5,-0.541589381
30.75,-0.565136746
31,-0.541589381
31.25,-0.565136746
31.5,-0.565136746
31.75,-0.565136746
32,-0.565136746
32.25,-0.565136746
32.5,-0.541589381
32.75,-0.565136746
33,-0.541589381
33.25,-0.565136746
33.5,-0.565136746
33.75,-0.565136746
34,-0.565136746
34.25,-0.565136746
34.5,-0.565136746
34.75,-0.541589381
35,-0.565136746
35.25,-0.565136746
35.5,-0.565136746
35.75,-0.565136746
36,-0.565136746
36.25,-0.565136746
36.5,-0.565136746
36.75,-0.565136746
37,-0.541589381
37.25,-0.541589381
37.5,-0.541589381
37.75,-0.565136746
38,-0.565136746
38.25,-0.565136746
38.5,-0.565136746
38.75,-0.565136746
39,-0.565136746
39.25,-0.565136746
39.5,-0.565136746
39.75,-0.565136746
40,-0.565136746
40.25,-0.565136746
40.5,-0.565136746
40.75,-0.565136746
41,-0.565136746
41.25,-0.565136746
41.5,-0.565136746
41.75,-0.565136746
42,-0.565136746
42.25,-0.565136746
42.5,-0.565136746
42.75,-0.565136746
43,-0.58868411
43.25,-0.612231474
43.5,-0.682873568
43.75,-0.706420932
44,-0.659326203
44.25,-0.58868411
44.5,-0.565136746
44.75,-0.565136746
45,-0.541589381
45.25,-0.541589381
45.5,-0.565136746
45.75,-0.565136746
46,-0.565136746
46.25,-0.541589381
46.5,-0.565136746
46.75,-0.612231474
47,-0.635778839
47.25,-0.682873568
47.5,-0.706420932
47.75,-0.659326203
48,-0.635778839
48.25,-0.58868411
48.5,-0.541589381
48.75,-0.565136746
49,-0.565136746
49.25,-0.565136746
49.5,-0.565136746
49.75,-0.565136746
50,-0.565136746
50.25,-0.565136746
50.5,-0.565136746
50.75,-0.565136746
51,-0.565136746
51.25,-0.565136746
51.5,-0.565136746
51.75,-0.565136746
52,-0.565136746
52.25,-0.565136746
52.5,-0.565136746
52.75,-0.565136746
53,-0.565136746
53.25,-0.565136746
53.5,-0.565136746
53.75,-0.565136746
54,-0.565136746
54.25,-0.565136746
54.5,-0.565136746
54.75,-0.565136746
55,-0.565136746
55.25,-0.565136746
55.5,-0.565136746
55.75,-0.565136746
56,-0.58868411
56.25,-0.565136746
56.5,-0.58868411
56.75,-0.58868411
57,-0.565136746
57.25,-0.565136746
57.5,-0.565136746
57.75,-0.565136746
58,-0.58868411
58.25,-0.565136746
58.5,-0.565136746
58.75,-0.565136746
59,-0.58868411
59.25,-0.58868411
59.5,-0.58868411
59.75,-0.565136746
60,-0.565136746
60.25,-0.565136746
60.5,-0.565136746
60.75,-0.565136746
61,-0.565136746
61.25,-0.565136746
61.5,-0.565136746
61.75,-0.58868411
62,-0.565136746
62.25,-0.565136746
62.5,-0.565136746
62.75,-0.58868411
63,-0.58868411
63.25,-0.58868411
63.5,-0.565136746
63.75,-0.565136746
64,-0.58868411
64.25,-0.565136746
64.5,-0.58868411
64.75,-0.565136746
65,-0.58868411
65.25,-0.58868411
65.5,-0.58868411
65.75,-0.58868411
66,-0.58868411
66.25,-0.612231474
66.5,-0.659326203
66.75,-0.753515661
67,-0.706420932
67.25,-0.753515661
67.5,-0.682873568
67.75,-0.612231474
68,-0.565136746
68.25,-0.565136746
68.5,-0.565136746
68.75,-0.565136746
69,-0.565136746
69.25,-0.58868411
69.5,-0.565136746
69.75,-0.635778839
70,-0.753515661
70.25,-0.753515661
70.5,-0.659326203
70.75,-0.58868411
71,-0.565136746
71.25,-0.565136746
71.5,-0.565136746
71.75,-0.565136746
72,-0.58868411
72.25,-0.58868411
72.5,-0.565136746
72.75,-0.565136746
73,-0.565136746
73.25,-0.565136746
73.5,-0.565136746
73.75,-0.58868411
74,-0.565136746
74.25,-0.565136746
74.5,-0.58868411
74.75,-0.565136746
75,-0.565136746
75.25,-0.58868411
75.5,-0.58868411
75.75,-0.58868411
76,-0.58868411
76.25,-0.565136746
76.5,-0.58868411
76.75,-0.58868411
77,-0.58868411
77.25,-0.58868411
77.5,-0.58868411
77.75,-0.58868411
78,-0.58868411
78.25,-0.58868411
78.5,-0.58868411
78.75,-0.58868411
79,-0.58868411
79.25,-0.565136746
79.5,-0.58868411
79.75,-0.58868411
80,-0.58868411
80.25,-0.565136746
80.5,-0.58868411
80.75,-0.58868411
81,-0.58868411
81.25,-0.58868411
81.5,-0.58868411
81.75,-0.58868411
82,-0.58868411
82.25,-0.58868411
82.5,-0.58868411
82.75,-0.58868411
83,-0.58868411
83.25,-0.565136746
83.5,-0.58868411
83.75,-0.58868411
84,-0.58868411
84.25,-0.58868411
84.5,-0.58868411
84.75,-0.58868411
85,-0.58868411
85.25,-0.58868411
85.5,-0.58868411
85.75,-0.565136746
86,-0.58868411
86.25,-0.58868411
86.5,-0.58868411
86.75,-0.58868411
87,-0.58868411
87.25,-0.58868411
87.5,-0.612231474
87.75,-0.58868411
88,-0.58868411
88.25,-0.58868411
88.5,-0.58868411
88.75,-0.58868411
89,-0.58868411
89.25,-0.58868411
89.5,-0.612231474
89.75,-0.635778839
90,-0.80061039
90.25,-0.753515661
90.5,-0.659326203
90.75,-0.58868411
91,-0.612231474
91.25,-0.58868411
91.5,-0.58868411
91.75,-0.58868411
92,-0.58868411
92.25,-0.58868411
92.5,-0.612231474
92.75,-0.635778839
93,-0.706420932
93.25,-0.824157754
93.5,-0.706420932
93.75,-0.659326203
94,-0.635778839
94.25,-0.58868411
94.5,-0.58868411
94.75,-0.58868411
95,-0.58868411
95.25,-0.58868411
95.5,-0.58868411
95.75,-0.58868411
96,-0.58868411
96.25,-0.58868411
96.5,-0.58868411
96.75,-0.58868411
