[Header]
Application Name	LabSolutions
Version	5.117
Data File Name	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Data\Tanaka_MixB.lcd
Output Date	12/7/2023
Output Time	2:50:37 PM

[File Information]
Type	Data File
Generated	9/28/2023 2:59:22 PM
Generated by	user
Modified	9/28/2023 3:29:43 PM
Modified by	user

[Sample Information]
Operator Name	user
Acquired	9/28/2023 2:59:41 PM
Sample Type	0:Unknown
Level	0
Sample Name	Tanaka_MixB
Sample ID	Tanaka_MixB
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Data\Tanaka_MixB.lcd
Method File	C:\LabSolutions\Data\Main Methods\Tanaka_mixAB_28-09-2023.lcm
Batch File	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Batches\C18_RefColumn_28-09-2023.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	3
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2.681	2.475	2.976	8925163	1328513	6.718	0.000	   			0.000	3309	45.329	0.880	0.000	0.000	0	0	0.000	0.000
2	3.119	2.976	3.349	5915812	986977	5.994	0.000	 V 			0.163	5017	29.901	1.226	2.417	0.000	0	0	0.000	0.000
3	3.486	3.349	4.544	2679123	422666	6.339	0.000	 V 			0.300	5687	26.375	1.196	2.031	1.837	0	0	0.000	0.000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      2814
Interval(msec)	640
Start Time(min)	0
End Time(min)	30.0053
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0.00000	0
0.01067	0
0.02133	0
0.03200	0
0.04267	-1
0.05333	-3
0.06400	-5
0.07467	-7
0.08533	-9
0.09600	-10
0.10667	-12
0.11733	-13
0.12800	-14
0.13867	-14
0.14933	-16
0.16000	-17
0.17067	-19
0.18133	-22
0.19200	-23
0.20267	-26
0.21333	-28
0.22400	-31
0.23467	-33
0.24533	-37
0.25600	-40
0.26667	-44
0.27733	-47
0.28800	-49
0.29867	-52
0.30933	-54
0.32000	-57
0.33067	-59
0.34133	-62
0.35200	-66
0.36267	-70
0.37333	-73
0.38400	-77
0.39467	-81
0.40533	-85
0.41600	-88
0.42667	-91
0.43733	-93
0.44800	-96
0.45867	-97
0.46933	-98
0.48000	-100
0.49067	-102
0.50133	-104
0.51200	-105
0.52267	-107
0.53333	-109
0.54400	-111
0.55467	-113
0.56533	-114
0.57600	-116
0.58667	-119
0.59733	-122
0.60800	-126
0.61867	-128
0.62933	-131
0.64000	-135
0.65067	-139
0.66133	-142
0.67200	-146
0.68267	-149
0.69333	-151
0.70400	-154
0.71467	-157
0.72533	-161
0.73600	-163
0.74667	-164
0.75733	-167
0.76800	-170
0.77867	-173
0.78933	-175
0.80000	-177
0.81067	-180
0.82133	-182
0.83200	-185
0.84267	-187
0.85333	-190
0.86400	-192
0.87467	-193
0.88533	-194
0.89600	-197
0.90667	-199
0.91733	-202
0.92800	-203
0.93867	-204
0.94933	-206
0.96000	-207
0.97067	-209
0.98133	-211
0.99200	-212
1.00267	-214
1.01333	-215
1.02400	-216
1.03467	-217
1.04533	-220
1.05600	-222
1.06667	-224
1.07733	-227
1.08800	-229
1.09867	-231
1.10933	-235
1.12000	-238
1.13067	-241
1.14133	-243
1.15200	-245
1.16267	-248
1.17333	-251
1.18400	-254
1.19467	-256
1.20533	-258
1.21600	-259
1.22667	-262
1.23733	-264
1.24800	-266
1.25867	-267
1.26933	-268
1.28000	-270
1.29067	-273
1.30133	-275
1.31200	-278
1.32267	-279
1.33333	-279
1.34400	-279
1.35467	-278
1.36533	-277
1.37600	-276
1.38667	-273
1.39733	-268
1.40800	-264
1.41867	-259
1.42933	-251
1.44000	-244
1.45067	-237
1.46133	-229
1.47200	-222
1.48267	-218
1.49333	-220
1.50400	-229
1.51467	-244
1.52533	-262
1.53600	-278
1.54667	-293
1.55733	-304
1.56800	-313
1.57867	-320
1.58933	-327
1.60000	-333
1.61067	-336
1.62133	-340
1.63200	-344
1.64267	-347
1.65333	-349
1.66400	-352
1.67467	-355
1.68533	-360
1.69600	-363
1.70667	-365
1.71733	-368
1.72800	-371
1.73867	-375
1.74933	-379
1.76000	-381
1.77067	-384
1.78133	-386
1.79200	-389
1.80267	-391
1.81333	-392
1.82400	-394
1.83467	-396
1.84533	-397
1.85600	-398
1.86667	-400
1.87733	-402
1.88800	-405
1.89867	-408
1.90933	-410
1.92000	-412
1.93067	-413
1.94133	-417
1.95200	-421
1.96267	-425
1.97333	-429
1.98400	-431
1.99467	-434
2.00533	-437
2.01600	-440
2.02667	-442
2.03733	-444
2.04800	-448
2.05867	-451
2.06933	-453
2.08000	-455
2.09067	-456
2.10133	-458
2.11200	-461
2.12267	-464
2.13333	-466
2.14400	-469
2.15467	-470
2.16533	-472
2.17600	-475
2.18667	-477
2.19733	-479
2.20800	-482
2.21867	-484
2.22933	-487
2.24000	-490
2.25067	-492
2.26133	-494
2.27200	-497
2.28267	-500
2.29333	-503
2.30400	-505
2.31467	-507
2.32533	-510
2.33600	-513
2.34667	-515
2.35733	-516
2.36800	-518
2.37867	-519
2.38933	-521
2.40000	-523
2.41067	-526
2.42133	-528
2.43200	-531
2.44267	-533
2.45333	-536
2.46400	-538
2.47467	-540
2.48533	-523
2.49600	122
2.50667	5030
2.51733	20249
2.52800	47076
2.53867	80395
2.54933	116776
2.56000	157038
2.57067	200365
2.58133	245721
2.59200	299698
2.60267	372116
2.61333	463986
2.62400	572097
2.63467	701654
2.64533	861110
2.65600	1047508
2.66667	1225810
2.67733	1327930
2.68800	1307586
2.69867	1178502
2.70933	987797
2.72000	781081
2.73067	589087
2.74133	427323
2.75200	300176
2.76267	205403
2.77333	137658
2.78400	90802
2.79467	59214
2.80533	38326
2.81600	24709
2.82667	15915
2.83733	10266
2.84800	6645
2.85867	4321
2.86933	2826
2.88000	1861
2.89067	1239
2.90133	841
2.91200	592
2.92267	435
2.93333	333
2.94400	258
2.95467	190
2.96533	127
2.97600	92
2.98667	177
2.99733	702
3.00800	2648
3.01867	8612
3.02933	24309
3.04000	59747
3.05067	128078
3.06133	240427
3.07200	397810
3.08267	584723
3.09333	769515
3.10400	913435
3.11467	986305
3.12533	979341
3.13600	904886
3.14667	786302
3.15733	648065
3.16800	510122
3.17867	385746
3.18933	281678
3.20000	199582
3.21067	137860
3.22133	93258
3.23200	62046
3.24267	40759
3.25333	26529
3.26400	17161
3.27467	11058
3.28533	7106
3.29600	4555
3.30667	2906
3.31733	1836
3.32800	1141
3.33867	702
3.34933	482
3.36000	594
3.37067	1498
3.38133	4403
3.39200	11836
3.40267	27944
3.41333	57780
3.42400	105124
3.43467	169487
3.44533	244347
3.45600	318234
3.46667	378249
3.47733	414299
3.48800	421918
3.49867	402661
3.50933	362521
3.52000	309623
3.53067	252085
3.54133	196508
3.55200	147290
3.56267	106608
3.57333	74844
3.58400	51191
3.59467	34255
3.60533	22511
3.61600	14572
3.62667	9308
3.63733	5866
3.64800	3636
3.65867	2197
3.66933	1270
3.68000	669
3.69067	276
3.70133	15
3.71200	-161
3.72267	-281
3.73333	-366
3.74400	-429
3.75467	-476
3.76533	-512
3.77600	-542
3.78667	-566
3.79733	-586
3.80800	-602
3.81867	-617
3.82933	-632
3.84000	-644
3.85067	-655
3.86133	-667
3.87200	-678
3.88267	-688
3.89333	-697
3.90400	-704
3.91467	-711
3.92533	-718
3.93600	-724
3.94667	-729
3.95733	-734
3.96800	-738
3.97867	-741
3.98933	-745
4.00000	-748
4.01067	-753
4.02133	-759
4.03200	-766
4.04267	-772
4.05333	-779
4.06400	-786
4.07467	-793
4.08533	-800
4.09600	-807
4.10667	-815
4.11733	-822
4.12800	-828
4.13867	-833
4.14933	-839
4.16000	-843
4.17067	-846
4.18133	-851
4.19200	-855
4.20267	-859
4.21333	-862
4.22400	-866
4.23467	-871
4.24533	-874
4.25600	-877
4.26667	-880
4.27733	-883
4.28800	-886
4.29867	-889
4.30933	-893
4.32000	-896
4.33067	-900
4.34133	-905
4.35200	-908
4.36267	-912
4.37333	-916
4.38400	-921
4.39467	-925
4.40533	-928
4.41600	-930
4.42667	-933
4.43733	-936
4.44800	-939
4.45867	-942
4.46933	-946
4.48000	-950
4.49067	-953
4.50133	-955
4.51200	-957
4.52267	-960
4.53333	-963
4.54400	-965
4.55467	-965
4.56533	-967
4.57600	-971
4.58667	-974
4.59733	-976
4.60800	-979
4.61867	-981
4.62933	-983
4.64000	-985
4.65067	-986
4.66133	-988
4.67200	-989
4.68267	-989
4.69333	-986
4.70400	-983
4.71467	-979
4.72533	-975
4.73600	-969
4.74667	-961
4.75733	-955
4.76800	-948
4.77867	-939
4.78933	-932
4.80000	-927
4.81067	-921
4.82133	-915
4.83200	-910
4.84267	-906
4.85333	-904
4.86400	-902
4.87467	-902
4.88533	-903
4.89600	-904
4.90667	-906
4.91733	-909
4.92800	-912
4.93867	-915
4.94933	-919
4.96000	-925
4.97067	-931
4.98133	-937
4.99200	-942
5.00267	-947
5.01333	-953
5.02400	-959
5.03467	-964
5.04533	-969
5.05600	-975
5.06667	-982
5.07733	-988
5.08800	-993
5.09867	-998
5.10933	-1004
5.12000	-1011
5.13067	-1018
5.14133	-1023
5.15200	-1028
5.16267	-1033
5.17333	-1038
5.18400	-1044
5.19467	-1049
5.20533	-1054
5.21600	-1059
5.22667	-1064
5.23733	-1069
5.24800	-1074
5.25867	-1077
5.26933	-1080
5.28000	-1083
5.29067	-1087
5.30133	-1091
5.31200	-1094
5.32267	-1099
5.33333	-1103
5.34400	-1107
5.35467	-1111
5.36533	-1116
5.37600	-1120
5.38667	-1122
5.39733	-1125
5.40800	-1128
5.41867	-1132
5.42933	-1136
5.44000	-1138
5.45067	-1141
5.46133	-1146
5.47200	-1151
5.48267	-1155
5.49333	-1158
5.50400	-1162
5.51467	-1165
5.52533	-1168
5.53600	-1171
5.54667	-1174
5.55733	-1176
5.56800	-1178
5.57867	-1182
5.58933	-1185
5.60000	-1188
5.61067	-1192
5.62133	-1195
5.63200	-1199
5.64267	-1202
5.65333	-1205
5.66400	-1207
5.67467	-1211
5.68533	-1214
5.69600	-1217
5.70667	-1220
5.71733	-1223
5.72800	-1225
5.73867	-1229
5.74933	-1232
5.76000	-1235
5.77067	-1238
5.78133	-1241
5.79200	-1243
5.80267	-1245
5.81333	-1247
5.82400	-1250
5.83467	-1253
5.84533	-1255
5.85600	-1258
5.86667	-1261
5.87733	-1262
5.88800	-1264
5.89867	-1267
5.90933	-1269
5.92000	-1271
5.93067	-1274
5.94133	-1276
5.95200	-1278
5.96267	-1279
5.97333	-1283
5.98400	-1286
5.99467	-1288
6.00533	-1290
6.01600	-1293
6.02667	-1295
6.03733	-1297
6.04800	-1299
6.05867	-1302
6.06933	-1305
6.08000	-1307
6.09067	-1309
6.10133	-1313
6.11200	-1315
6.12267	-1319
6.13333	-1322
6.14400	-1325
6.15467	-1328
6.16533	-1330
6.17600	-1333
6.18667	-1336
6.19733	-1340
6.20800	-1342
6.21867	-1343
6.22933	-1346
6.24000	-1348
6.25067	-1350
6.26133	-1351
6.27200	-1353
6.28267	-1355
6.29333	-1356
6.30400	-1358
6.31467	-1359
6.32533	-1361
6.33600	-1364
6.34667	-1366
6.35733	-1368
6.36800	-1371
6.37867	-1375
6.38933	-1378
6.40000	-1381
6.41067	-1384
6.42133	-1387
6.43200	-1389
6.44267	-1390
6.45333	-1392
6.46400	-1394
6.47467	-1397
6.48533	-1398
6.49600	-1399
6.50667	-1401
6.51733	-1404
6.52800	-1406
6.53867	-1408
6.54933	-1411
6.56000	-1413
6.57067	-1415
6.58133	-1416
6.59200	-1419
6.60267	-1421
6.61333	-1422
6.62400	-1425
6.63467	-1428
6.64533	-1431
6.65600	-1433
6.66667	-1435
6.67733	-1437
6.68800	-1439
6.69867	-1441
6.70933	-1442
6.72000	-1444
6.73067	-1447
6.74133	-1450
6.75200	-1453
6.76267	-1456
6.77333	-1459
6.78400	-1463
6.79467	-1466
6.80533	-1469
6.81600	-1470
6.82667	-1472
6.83733	-1474
6.84800	-1476
6.85867	-1478
6.86933	-1479
6.88000	-1480
6.89067	-1482
6.90133	-1483
6.91200	-1485
6.92267	-1487
6.93333	-1489
6.94400	-1491
6.95467	-1493
6.96533	-1495
6.97600	-1499
6.98667	-1502
6.99733	-1506
7.00800	-1509
7.01867	-1511
7.02933	-1514
7.04000	-1516
7.05067	-1517
7.06133	-1520
7.07200	-1522
7.08267	-1524
7.09333	-1527
7.10400	-1530
7.11467	-1532
7.12533	-1535
7.13600	-1538
7.14667	-1539
7.15733	-1541
7.16800	-1543
7.17867	-1545
7.18933	-1547
7.20000	-1549
7.21067	-1551
7.22133	-1553
7.23200	-1554
7.24267	-1556
7.25333	-1558
7.26400	-1560
7.27467	-1564
7.28533	-1567
7.29600	-1568
7.30667	-1570
7.31733	-1572
7.32800	-1575
7.33867	-1577
7.34933	-1580
7.36000	-1582
7.37067	-1585
7.38133	-1588
7.39200	-1590
7.40267	-1592
7.41333	-1594
7.42400	-1596
7.43467	-1598
7.44533	-1600
7.45600	-1602
7.46667	-1603
7.47733	-1605
7.48800	-1607
7.49867	-1608
7.50933	-1611
7.52000	-1613
7.53067	-1616
7.54133	-1618
7.55200	-1621
7.56267	-1624
7.57333	-1625
7.58400	-1627
7.59467	-1629
7.60533	-1632
7.61600	-1634
7.62667	-1635
7.63733	-1636
7.64800	-1639
7.65867	-1641
7.66933	-1643
7.68000	-1644
7.69067	-1647
7.70133	-1650
7.71200	-1653
7.72267	-1655
7.73333	-1659
7.74400	-1662
7.75467	-1664
7.76533	-1666
7.77600	-1667
7.78667	-1669
7.79733	-1671
7.80800	-1674
7.81867	-1675
7.82933	-1676
7.84000	-1676
7.85067	-1679
7.86133	-1682
7.87200	-1684
7.88267	-1685
7.89333	-1686
7.90400	-1688
7.91467	-1690
7.92533	-1692
7.93600	-1695
7.94667	-1696
7.95733	-1698
7.96800	-1701
7.97867	-1704
7.98933	-1708
8.00000	-1712
8.01067	-1716
8.02133	-1719
8.03200	-1721
8.04267	-1723
8.05333	-1725
8.06400	-1728
8.07467	-1730
8.08533	-1732
8.09600	-1733
8.10667	-1735
8.11733	-1737
8.12800	-1739
8.13867	-1741
8.14933	-1743
8.16000	-1744
8.17067	-1747
8.18133	-1751
8.19200	-1752
8.20267	-1754
8.21333	-1757
8.22400	-1760
8.23467	-1763
8.24533	-1765
8.25600	-1767
8.26667	-1769
8.27733	-1771
8.28800	-1773
8.29867	-1775
8.30933	-1777
8.32000	-1779
8.33067	-1780
8.34133	-1782
8.35200	-1785
8.36267	-1788
8.37333	-1791
8.38400	-1794
8.39467	-1798
8.40533	-1800
8.41600	-1803
8.42667	-1805
8.43733	-1808
8.44800	-1811
8.45867	-1815
8.46933	-1819
8.48000	-1821
8.49067	-1824
8.50133	-1826
8.51200	-1827
8.52267	-1828
8.53333	-1830
8.54400	-1832
8.55467	-1834
8.56533	-1836
8.57600	-1838
8.58667	-1839
8.59733	-1842
8.60800	-1844
8.61867	-1847
8.62933	-1849
8.64000	-1851
8.65067	-1853
8.66133	-1856
8.67200	-1859
8.68267	-1861
8.69333	-1862
8.70400	-1864
8.71467	-1866
8.72533	-1868
8.73600	-1871
8.74667	-1874
8.75733	-1876
8.76800	-1879
8.77867	-1881
8.78933	-1883
8.80000	-1886
8.81067	-1887
8.82133	-1888
8.83200	-1890
8.84267	-1892
8.85333	-1894
8.86400	-1897
8.87467	-1900
8.88533	-1902
8.89600	-1903
8.90667	-1904
8.91733	-1906
8.92800	-1909
8.93867	-1911
8.94933	-1913
8.96000	-1916
8.97067	-1919
8.98133	-1921
8.99200	-1924
9.00267	-1926
9.01333	-1929
9.02400	-1932
9.03467	-1935
9.04533	-1938
9.05600	-1941
9.06667	-1943
9.07733	-1947
9.08800	-1949
9.09867	-1952
9.10933	-1955
9.12000	-1958
9.13067	-1960
9.14133	-1962
9.15200	-1965
9.16267	-1967
9.17333	-1969
9.18400	-1971
9.19467	-1973
9.20533	-1975
9.21600	-1978
9.22667	-1979
9.23733	-1981
9.24800	-1983
9.25867	-1984
9.26933	-1986
9.28000	-1989
9.29067	-1991
9.30133	-1992
9.31200	-1994
9.32267	-1996
9.33333	-1997
9.34400	-1999
9.35467	-2002
9.36533	-2005
9.37600	-2008
9.38667	-2010
9.39733	-2014
9.40800	-2016
9.41867	-2018
9.42933	-2021
9.44000	-2023
9.45067	-2026
9.46133	-2028
9.47200	-2029
9.48267	-2032
9.49333	-2034
9.50400	-2035
9.51467	-2038
9.52533	-2041
9.53600	-2043
9.54667	-2044
9.55733	-2046
9.56800	-2048
9.57867	-2049
9.58933	-2050
9.60000	-2052
9.61067	-2055
9.62133	-2056
9.63200	-2057
9.64267	-2059
9.65333	-2061
9.66400	-2064
9.67467	-2066
9.68533	-2068
9.69600	-2070
9.70667	-2073
9.71733	-2075
9.72800	-2077
9.73867	-2081
9.74933	-2085
9.76000	-2087
9.77067	-2089
9.78133	-2091
9.79200	-2095
9.80267	-2099
9.81333	-2103
9.82400	-2106
9.83467	-2109
9.84533	-2112
9.85600	-2115
9.86667	-2118
9.87733	-2120
9.88800	-2122
9.89867	-2123
9.90933	-2126
9.92000	-2129
9.93067	-2131
9.94133	-2134
9.95200	-2138
9.96267	-2141
9.97333	-2143
9.98400	-2147
9.99467	-2150
10.00533	-2153
10.01600	-2155
10.02667	-2158
10.03733	-2161
10.04800	-2163
10.05867	-2166
10.06933	-2169
10.08000	-2173
10.09067	-2175
10.10133	-2177
10.11200	-2179
10.12267	-2181
10.13333	-2184
10.14400	-2187
10.15467	-2188
10.16533	-2190
10.17600	-2193
10.18667	-2196
10.19733	-2198
10.20800	-2199
10.21867	-2201
10.22933	-2204
10.24000	-2207
10.25067	-2208
10.26133	-2209
10.27200	-2211
10.28267	-2214
10.29333	-2216
10.30400	-2219
10.31467	-2220
10.32533	-2222
10.33600	-2225
10.34667	-2228
10.35733	-2230
10.36800	-2233
10.37867	-2237
10.38933	-2239
10.40000	-2242
10.41067	-2244
10.42133	-2246
10.43200	-2248
10.44267	-2250
10.45333	-2253
10.46400	-2255
10.47467	-2258
10.48533	-2261
10.49600	-2264
10.50667	-2265
10.51733	-2266
10.52800	-2269
10.53867	-2271
10.54933	-2272
10.56000	-2275
10.57067	-2276
10.58133	-2279
10.59200	-2281
10.60267	-2284
10.61333	-2285
10.62400	-2287
10.63467	-2291
10.64533	-2295
10.65600	-2299
10.66667	-2302
10.67733	-2306
10.68800	-2309
10.69867	-2311
10.70933	-2313
10.72000	-2316
10.73067	-2318
10.74133	-2321
10.75200	-2324
10.76267	-2327
10.77333	-2329
10.78400	-2332
10.79467	-2335
10.80533	-2338
10.81600	-2341
10.82667	-2343
10.83733	-2345
10.84800	-2348
10.85867	-2350
10.86933	-2353
10.88000	-2355
10.89067	-2357
10.90133	-2359
10.91200	-2361
10.92267	-2363
10.93333	-2365
10.94400	-2367
10.95467	-2368
10.96533	-2370
10.97600	-2373
10.98667	-2375
10.99733	-2376
11.00800	-2377
11.01867	-2380
11.02933	-2382
11.04000	-2385
11.05067	-2388
11.06133	-2390
11.07200	-2391
11.08267	-2394
11.09333	-2395
11.10400	-2396
11.11467	-2398
11.12533	-2401
11.13600	-2404
11.14667	-2406
11.15733	-2409
11.16800	-2413
11.17867	-2416
11.18933	-2419
11.20000	-2421
11.21067	-2423
11.22133	-2426
11.23200	-2428
11.24267	-2431
11.25333	-2434
11.26400	-2437
11.27467	-2439
11.28533	-2441
11.29600	-2444
11.30667	-2447
11.31733	-2450
11.32800	-2452
11.33867	-2455
11.34933	-2457
11.36000	-2460
11.37067	-2463
11.38133	-2466
11.39200	-2469
11.40267	-2472
11.41333	-2475
11.42400	-2478
11.43467	-2480
11.44533	-2482
11.45600	-2484
11.46667	-2485
11.47733	-2486
11.48800	-2488
11.49867	-2490
11.50933	-2492
11.52000	-2494
11.53067	-2496
11.54133	-2498
11.55200	-2500
11.56267	-2502
11.57333	-2505
11.58400	-2508
11.59467	-2511
11.60533	-2514
11.61600	-2515
11.62667	-2517
11.63733	-2520
11.64800	-2522
11.65867	-2525
11.66933	-2528
11.68000	-2531
11.69067	-2533
11.70133	-2536
11.71200	-2539
11.72267	-2542
11.73333	-2544
11.74400	-2547
11.75467	-2551
11.76533	-2554
11.77600	-2556
11.78667	-2557
11.79733	-2558
11.80800	-2562
11.81867	-2564
11.82933	-2565
11.84000	-2566
11.85067	-2568
11.86133	-2570
11.87200	-2572
11.88267	-2574
11.89333	-2576
11.90400	-2578
11.91467	-2580
11.92533	-2582
11.93600	-2585
11.94667	-2588
11.95733	-2590
11.96800	-2593
11.97867	-2596
11.98933	-2600
12.00000	-2603
12.01067	-2606
12.02133	-2609
12.03200	-2612
12.04267	-2616
12.05333	-2619
12.06400	-2622
12.07467	-2625
12.08533	-2627
12.09600	-2629
12.10667	-2631
12.11733	-2634
12.12800	-2636
12.13867	-2638
12.14933	-2639
12.16000	-2640
12.17067	-2641
12.18133	-2643
12.19200	-2645
12.20267	-2648
12.21333	-2651
12.22400	-2655
12.23467	-2658
12.24533	-2661
12.25600	-2662
12.26667	-2665
12.27733	-2668
12.28800	-2670
12.29867	-2671
12.30933	-2673
12.32000	-2675
12.33067	-2676
12.34133	-2677
12.35200	-2679
12.36267	-2680
12.37333	-2683
12.38400	-2685
12.39467	-2688
12.40533	-2690
12.41600	-2692
12.42667	-2694
12.43733	-2695
12.44800	-2697
12.45867	-2698
12.46933	-2699
12.48000	-2701
12.49067	-2703
12.50133	-2704
12.51200	-2706
12.52267	-2709
12.53333	-2711
12.54400	-2713
12.55467	-2715
12.56533	-2718
12.57600	-2721
12.58667	-2724
12.59733	-2726
12.60800	-2728
12.61867	-2732
12.62933	-2735
12.64000	-2737
12.65067	-2740
12.66133	-2743
12.67200	-2745
12.68267	-2747
12.69333	-2749
12.70400	-2751
12.71467	-2752
12.72533	-2754
12.73600	-2757
12.74667	-2760
12.75733	-2763
12.76800	-2765
12.77867	-2768
12.78933	-2770
12.80000	-2772
12.81067	-2776
12.82133	-2779
12.83200	-2781
12.84267	-2784
12.85333	-2787
12.86400	-2791
12.87467	-2793
12.88533	-2795
12.89600	-2798
12.90667	-2801
12.91733	-2804
12.92800	-2807
12.93867	-2809
12.94933	-2811
12.96000	-2812
12.97067	-2815
12.98133	-2816
